epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,218.09,0.43728,0.86297,1.08943,0.55235,0.36458,0.33069,0.20032,1.42231,2.68862,1.82886,0.000990365,0.000990365,0.000990365
43,223.154,0.45382,0.78023,1.09416,0.35172,0.37202,0.30609,0.16757,1.98817,2.82702,2.32933,0.000973861,0.000973861,0.000973861
44,228.016,0.59601,0.97377,1.28783,0.29751,0.45525,0.33803,0.21028,1.46185,2.62103,2.00387,0.000957358,0.000957358,0.000957358
45,232.533,0.47392,0.86408,1.14314,0.05968,0.20536,0.03367,0.02236,2.0504,4.63634,2.31334,0.000940855,0.000940855,0.000940855
46,237.964,0.52634,1.1708,1.23924,0.1714,0.11012,0.09313,0.05436,2.42498,4.20033,2.62079,0.000924352,0.000924352,0.000924352
47,242.968,0.46364,0.80989,1.1469,0.43095,0.36458,0.34085,0.29811,1.18189,2.23973,1.6165,0.000907848,0.000907848,0.000907848
48,247.515,0.46122,0.8025,1.12886,0.13806,0.46726,0.24149,0.22056,0.92025,2.61773,1.4327,0.000891345,0.000891345,0.000891345
49,252.839,0.58779,0.90698,1.19045,0.27664,0.54613,0.33313,0.28067,0.94364,2.95982,1.38336,0.000874842,0.000874842,0.000874842
50,257.808,0.44515,0.79409,1.12766,0.75348,0.33333,0.32427,0.25801,0.94981,3.14928,1.38077,0.000858338,0.000858338,0.000858338
51,262.602,0.49903,0.79592,1.15307,0.72692,0.28571,0.30088,0.24008,0.91162,2.68499,1.37609,0.000841835,0.000841835,0.000841835
52,268.078,0.44759,0.82808,1.14521,0.54297,0.63048,0.47094,0.38296,0.84093,1.59519,1.37466,0.000825332,0.000825332,0.000825332
53,272.766,0.49546,0.87845,1.12432,0.81635,0.45238,0.38853,0.31569,0.86288,2.02526,1.43285,0.000808828,0.000808828,0.000808828
54,277.175,0.48133,0.90528,1.18119,0.8151,0.44649,0.38194,0.33054,0.92861,1.72597,1.40398,0.000792325,0.000792325,0.000792325
55,282.638,0.44731,0.79004,1.06986,0.82238,0.43224,0.45915,0.40512,0.81206,1.79011,1.31817,0.000775822,0.000775822,0.000775822
56,287.484,0.43402,0.7371,1.13491,0.76789,0.28571,0.39183,0.34593,0.8184,2.46058,1.2863,0.000759318,0.000759318,0.000759318
57,291.824,0.42537,0.79465,1.09117,0.7429,0.38246,0.37381,0.29738,0.81898,2.52813,1.26511,0.000742815,0.000742815,0.000742815
58,297.088,0.45905,0.78028,1.13514,0.90073,0.5,0.54945,0.45538,0.88499,1.70597,1.34562,0.000726312,0.000726312,0.000726312
59,301.725,0.47987,0.78409,1.28705,0.89932,0.5,0.53667,0.4589,0.83535,1.50455,1.36218,0.000709809,0.000709809,0.000709809
60,306.271,0.43776,0.74785,1.13185,0.89656,0.16667,0.29611,0.25058,0.86238,2.1222,1.38312,0.000693305,0.000693305,0.000693305
61,311.603,0.55522,0.81453,1.17272,0.48917,0.33185,0.26557,0.2156,0.89025,2.18604,1.41557,0.000676802,0.000676802,0.000676802
62,317.078,0.54993,1.09772,1.17884,0.52572,0.30485,0.31448,0.23837,0.89873,2.23146,1.34694,0.000660299,0.000660299,0.000660299
63,321.508,0.44158,0.66924,1.12775,0.3068,0.56101,0.25199,0.17311,0.903,2.71547,1.37763,0.000643795,0.000643795,0.000643795
64,326.707,0.4069,0.63991,1.05877,0.41306,0.24405,0.2998,0.24134,0.92794,2.37097,1.43351,0.000627292,0.000627292,0.000627292
65,331.128,0.48028,0.94837,1.14574,0.78819,0.30804,0.48391,0.41275,0.91391,2.54994,1.42065,0.000610789,0.000610789,0.000610789
66,335.503,0.3439,0.68586,1.03956,0.66006,0.27821,0.37081,0.29891,0.82891,2.22227,1.32638,0.000594286,0.000594286,0.000594286
67,340.567,0.34978,0.64769,1.06369,0.60829,0.52232,0.53073,0.4736,0.84806,1.55463,1.30781,0.000577782,0.000577782,0.000577782
68,345.18,0.33753,0.59283,1.02778,0.74413,0.22748,0.32889,0.25414,1.08444,2.60554,1.61376,0.000561279,0.000561279,0.000561279
69,349.631,0.40013,0.70617,1.0837,0.87699,0.38095,0.3966,0.33412,0.96901,1.92608,1.51444,0.000544776,0.000544776,0.000544776
70,354.811,0.76456,1.31022,1.50766,0.56774,0.61215,0.53018,0.45325,0.95977,1.30069,1.51274,0.000528272,0.000528272,0.000528272
71,360.164,0.39454,0.72222,1.0872,0.62052,0.48793,0.54471,0.47037,0.84448,1.4839,1.35775,0.000511769,0.000511769,0.000511769
72,364.64,0.37158,0.56546,1.06122,0.7768,0.60119,0.58608,0.52909,0.85604,1.22552,1.37277,0.000495266,0.000495266,0.000495266
