epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,511.917,2.3256,3.81571,2.44882,0.00123,0.69231,0.00307,0.00105,2.32519,3.8777,2.82088,0.0015644,0.0015644,0.0015644
46,522.769,2.50381,4.07238,2.50007,0.00068,0.46154,0.00268,0.00083,2.56444,4.31153,2.96565,0.0015545,0.0015545,0.0015545
47,531.445,2.24546,4.02821,2.29955,0.00121,0.69231,0.00162,0.00058,2.35441,3.80638,2.4575,0.0015446,0.0015446,0.0015446
48,543.048,2.41026,3.93374,2.3951,0.00323,0.61538,0.00669,0.00232,2.35335,3.77871,2.42345,0.0015347,0.0015347,0.0015347
49,553.079,2.30767,3.9421,2.31493,0.00197,0.69231,0.00305,0.00123,2.23302,3.82735,2.33163,0.0015248,0.0015248,0.0015248
50,562.09,2.47162,3.98721,2.48882,0.00166,0.84615,0.00218,0.00065,2.33099,3.98073,2.38002,0.0015149,0.0015149,0.0015149
51,574.093,2.33281,3.82456,2.39276,0.00123,0.84615,0.00501,0.00175,2.24341,4.14993,2.43317,0.001505,0.001505,0.001505
52,582.551,2.46158,3.88606,2.48822,0.00172,0.76923,0.00292,0.00126,2.31367,nan,3.92666,0.0014951,0.0014951,0.0014951
53,592.156,2.25529,4.00413,2.30493,0.00154,0.15385,0.0009,9e-05,2.75528,4.69563,2.61483,0.0014852,0.0014852,0.0014852
54,604.274,2.29185,3.86723,2.38449,0.00332,0.30769,0.00258,0.00072,2.55753,4.14486,2.47319,0.0014753,0.0014753,0.0014753
55,612.644,2.25928,3.88519,2.33203,0.00118,0.76923,0.00855,0.00205,1.98234,4.21971,2.26848,0.0014654,0.0014654,0.0014654
56,621.918,2.21438,3.9058,2.29456,0.00101,0.69231,0.00287,0.00104,2.01558,4.65072,2.3771,0.0014555,0.0014555,0.0014555
