epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,236.778,2.06757,2.93011,2.28027,0.07014,0.21429,0.03858,0.01146,1.88365,3.05057,2.29425,0.001109,0.001109,0.001109
47,240.823,1.98535,3.07769,2.15931,0.11788,0.14286,0.05982,0.02072,1.81659,2.85254,2.16216,0.0010892,0.0010892,0.0010892
48,246.446,2.06381,2.97057,2.26689,0.04388,0.21429,0.03274,0.01118,1.89212,3.20782,2.23245,0.0010694,0.0010694,0.0010694
49,251.124,1.99045,2.9041,2.23267,0.07421,0.14286,0.05433,0.01627,1.8305,3.53833,2.19554,0.0010496,0.0010496,0.0010496
50,255.085,2.00706,2.8731,2.22322,0.07542,0.21429,0.07954,0.02244,1.85315,2.76597,2.204,0.0010298,0.0010298,0.0010298
51,260.228,1.89624,2.90159,2.15568,0.09916,0.21429,0.06911,0.02106,1.999,3.42097,2.29897,0.00101,0.00101,0.00101
52,264.284,1.96704,2.73928,2.16035,0.28105,0.35714,0.19431,0.06847,1.89636,3.26868,2.21782,0.0009902,0.0009902,0.0009902
53,268.327,1.79721,2.55494,2.08978,0.45069,0.35714,0.3492,0.12683,1.87744,2.72221,2.22746,0.0009704,0.0009704,0.0009704
54,273.615,1.96128,2.68666,2.24408,0.28737,0.14418,0.20214,0.0847,1.80911,2.5704,2.19721,0.0009506,0.0009506,0.0009506
55,277.59,1.90693,2.52986,2.17273,0.45807,0.28571,0.27727,0.11885,1.80385,2.42988,2.16539,0.0009308,0.0009308,0.0009308
56,282.72,1.99018,2.6196,2.29217,0.27028,0.21429,0.19687,0.08073,1.94094,2.45452,2.21026,0.000911,0.000911,0.000911
57,287.855,1.92797,2.68828,2.1924,0.28208,0.21429,0.16827,0.0767,1.81455,2.79518,2.1607,0.0008912,0.0008912,0.0008912
58,291.969,1.97743,2.73274,2.23162,0.5404,0.21429,0.27539,0.11071,1.76146,2.7597,2.12877,0.0008714,0.0008714,0.0008714
59,295.958,1.89369,2.643,2.19846,0.23892,0.09228,0.15222,0.0573,1.84119,3.2491,2.19215,0.0008516,0.0008516,0.0008516
60,300.697,1.84094,2.48138,2.13038,0.45605,0.21429,0.23413,0.10612,1.99906,2.6669,2.28898,0.0008318,0.0008318,0.0008318
61,305.19,1.89548,2.3615,2.16713,0.30761,0.21429,0.19962,0.0798,1.97275,2.76628,2.2551,0.000812,0.000812,0.000812
62,309.134,1.93628,2.59744,2.19287,0.38712,0.35714,0.27667,0.10741,1.9297,2.39494,2.24543,0.0007922,0.0007922,0.0007922
63,313.356,1.91304,2.47877,2.18377,0.44736,0.4638,0.47898,0.15604,1.81781,2.00854,2.21401,0.0007724,0.0007724,0.0007724
64,318.362,1.84266,2.30729,2.1166,0.45236,0.29589,0.42348,0.1183,1.831,2.25433,2.1714,0.0007526,0.0007526,0.0007526
65,322.385,1.80613,2.3956,2.07813,0.46712,0.06673,0.1438,0.05571,2.03661,3.4276,2.34611,0.0007328,0.0007328,0.0007328
66,328.918,1.89236,2.47638,2.15546,0.63818,0.21429,0.32523,0.11599,1.91993,2.66202,2.28295,0.000713,0.000713,0.000713
67,333.534,1.80994,2.22663,2.06917,0.79592,0.27989,0.32969,0.14386,1.8376,2.0287,2.26054,0.0006932,0.0006932,0.0006932
68,337.503,1.74955,2.45751,2.07315,0.23615,0.28571,0.22934,0.09503,1.83844,2.26675,2.24592,0.0006734,0.0006734,0.0006734
69,341.498,1.74338,2.18177,2.06245,0.30185,0.28571,0.25735,0.09453,1.80876,2.42564,2.17961,0.0006536,0.0006536,0.0006536
70,346.602,1.79982,2.26381,2.04664,0.21582,0.28571,0.1807,0.06732,2.11945,2.86115,2.55436,0.0006338,0.0006338,0.0006338
71,350.682,1.80551,2.33889,2.05831,0.3415,0.28571,0.16582,0.07317,1.96942,2.65258,2.31527,0.000614,0.000614,0.000614
72,354.756,1.77841,2.42561,2.06671,0.3268,0.35714,0.30498,0.12318,1.80188,2.39853,2.19769,0.0005942,0.0005942,0.0005942
73,359.924,1.86095,2.60701,2.12903,0.51137,0.21429,0.32173,0.12416,1.79943,2.56288,2.21237,0.0005744,0.0005744,0.0005744
74,364.221,1.78236,2.41553,2.04879,0.5914,0.57143,0.42226,0.1504,1.98319,1.97142,2.39598,0.0005546,0.0005546,0.0005546
75,368.197,1.8087,2.3234,2.07233,0.50187,0.35714,0.46973,0.1809,1.9092,1.99992,2.30004,0.0005348,0.0005348,0.0005348
76,373.213,1.71415,2.05828,2.02436,0.58812,0.35714,0.43134,0.20905,1.78916,2.01298,2.18633,0.000515,0.000515,0.000515
77,377.727,1.75544,2.11281,2.03778,0.61976,0.42857,0.3759,0.17949,1.8074,1.98924,2.16971,0.0004952,0.0004952,0.0004952
78,381.85,1.75701,2.29725,2.05041,0.80552,0.35714,0.39831,0.1591,1.89407,2.05266,2.2019,0.0004754,0.0004754,0.0004754
79,386.996,1.74191,2.07309,2.06629,0.49428,0.28571,0.4102,0.15989,1.85496,1.95795,2.20183,0.0004556,0.0004556,0.0004556
80,392.558,1.69811,1.92047,1.98381,0.77494,0.35714,0.50065,0.195,1.79875,1.9671,2.15211,0.0004358,0.0004358,0.0004358
81,396.655,1.77028,2.16973,1.98408,0.55443,0.42857,0.38302,0.18148,1.84701,2.30624,2.16825,0.000416,0.000416,0.000416
82,401.311,1.70955,2.41776,2.05205,0.21863,0.35714,0.1937,0.1031,1.83642,2.55225,2.1479,0.0003962,0.0003962,0.0003962
83,405.921,1.7219,2.18939,2.00415,0.32877,0.5,0.2934,0.1175,1.74469,2.31896,2.11441,0.0003764,0.0003764,0.0003764
84,409.953,1.74892,2.10766,2.05443,0.5393,0.33625,0.35276,0.17188,1.6863,2.10849,2.08772,0.0003566,0.0003566,0.0003566
85,414.091,1.7114,1.9216,2.02596,0.52442,0.35714,0.39987,0.17383,1.74211,2.0406,2.11819,0.0003368,0.0003368,0.0003368
86,419.322,1.75791,2.01217,2.03869,0.53207,0.28571,0.2921,0.11403,1.93521,2.27586,2.31334,0.000317,0.000317,0.000317
87,423.424,1.71837,1.99359,1.97494,0.55666,0.44971,0.40291,0.13212,2.16271,2.41246,2.6361,0.0002972,0.0002972,0.0002972
88,427.482,1.72623,2.16133,2.08079,0.39746,0.21429,0.33337,0.12918,2.10058,2.58536,2.54816,0.0002774,0.0002774,0.0002774
89,432.581,1.68459,1.87687,2.00724,0.51448,0.28571,0.34439,0.1535,1.96484,2.31562,2.31493,0.0002576,0.0002576,0.0002576
90,436.801,1.60649,1.86307,1.94473,0.35763,0.5,0.41519,0.20847,1.83993,2.05564,2.14845,0.0002378,0.0002378,0.0002378
91,442.569,1.50198,1.98017,1.98839,0.38679,0.42857,0.39214,0.16189,1.78418,2.15468,2.1357,0.000218,0.000218,0.000218
92,448.707,1.52628,1.97585,1.92671,0.47981,0.5,0.38507,0.16641,1.84526,2.20835,2.19443,0.0001982,0.0001982,0.0001982
93,452.638,1.5333,1.86166,2.01146,0.46145,0.42857,0.4259,0.16563,1.87426,2.16491,2.22556,0.0001784,0.0001784,0.0001784
94,456.687,1.62897,1.70779,2.04974,0.59365,0.42857,0.41864,0.13658,2.02568,2.10417,2.39439,0.0001586,0.0001586,0.0001586
95,461.751,1.56338,1.83231,1.93379,0.62047,0.35714,0.37153,0.14557,2.04607,2.03926,2.45904,0.0001388,0.0001388,0.0001388
96,465.949,1.36435,2.30943,1.77681,0.77856,0.42857,0.47683,0.17938,1.97486,2.03782,2.35141,0.000119,0.000119,0.000119
97,469.919,1.50657,1.86225,1.88207,0.74982,0.42857,0.48313,0.19839,1.93836,1.98859,2.31739,9.92e-05,9.92e-05,9.92e-05
98,474.537,1.58243,1.76001,2.00441,0.7523,0.42857,0.50109,0.19869,1.91816,1.9497,2.31441,7.94e-05,7.94e-05,7.94e-05
99,479.057,1.51772,1.67047,1.93948,0.74127,0.5,0.53076,0.20373,1.93086,1.96346,2.33999,5.96e-05,5.96e-05,5.96e-05
100,482.997,1.50512,1.58492,1.93374,0.6902,0.5,0.51331,0.22233,1.93421,1.97366,2.33209,3.98e-05,3.98e-05,3.98e-05
