epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,181.574,0.46404,0.82594,1.106,0.35066,0.42708,0.32272,0.1145,1.49616,2.89576,1.86729,0.000990365,0.000990365,0.000990365
43,185.278,0.44752,0.7801,1.07587,0.21899,0.45833,0.2201,0.11699,1.43803,3.1615,1.80473,0.000973861,0.000973861,0.000973861
44,188.427,0.50436,0.83064,1.12334,0.16586,0.5625,0.21461,0.09322,1.55514,2.80045,1.97167,0.000957358,0.000957358,0.000957358
45,192.703,0.47083,0.81069,1.08541,0.65481,0.59589,0.55904,0.40291,0.93528,2.07288,1.3036,0.000940855,0.000940855,0.000940855
46,196.582,0.49514,0.84461,1.12025,0.66037,0.52709,0.50571,0.35859,0.84238,2.65553,1.20609,0.000924352,0.000924352,0.000924352
47,200.163,0.44853,0.748,1.06894,0.67634,0.54748,0.46072,0.32178,1.08196,2.6049,1.64704,0.000907848,0.000907848,0.000907848
48,203.545,0.45531,0.76709,1.09572,0.21996,0.625,0.31449,0.23387,1.27818,2.868,1.7653,0.000891345,0.000891345,0.000891345
49,208.259,0.45306,0.76172,1.08957,0.83104,0.4375,0.49047,0.33318,1.04546,2.34867,1.41077,0.000874842,0.000874842,0.000874842
50,212.135,0.43162,0.76785,1.066,0.67312,0.66667,0.60698,0.44264,0.96663,1.45277,1.32744,0.000858338,0.000858338,0.000858338
51,215.554,0.41883,0.67914,1.0545,0.88405,0.41436,0.58683,0.41649,1.11839,1.8563,1.42531,0.000841835,0.000841835,0.000841835
52,218.89,0.42881,0.68433,1.06527,0.63755,0.51042,0.55679,0.44132,1.14682,1.56444,1.47794,0.000825332,0.000825332,0.000825332
53,223.412,0.42507,0.68758,1.0889,0.37798,0.55208,0.41108,0.27383,1.32397,2.15645,1.63373,0.000808828,0.000808828,0.000808828
54,227.547,0.42777,0.73975,1.07279,0.84998,0.4375,0.5073,0.39986,1.00144,1.97325,1.40239,0.000792325,0.000792325,0.000792325
55,230.964,0.37344,0.67276,1.0712,0.87613,0.4375,0.56404,0.40958,0.95074,1.84618,1.33826,0.000775822,0.000775822,0.000775822
56,234.363,0.44417,0.70746,1.08236,0.51423,0.60621,0.58116,0.4349,0.96762,1.80959,1.3406,0.000759318,0.000759318,0.000759318
57,238.83,0.43904,0.67982,1.07596,0.64048,0.54707,0.47426,0.36507,1.12785,2.67544,1.56166,0.000742815,0.000742815,0.000742815
58,242.562,0.46374,0.69491,1.07636,0.48904,0.59375,0.45475,0.30935,1.05941,3.51091,1.41962,0.000726312,0.000726312,0.000726312
59,245.852,0.40019,0.65146,1.05161,0.46549,0.80437,0.63679,0.43237,0.86608,2.73756,1.22429,0.000709809,0.000709809,0.000709809
60,250,0.38398,0.64375,1.01896,0.59804,0.625,0.65528,0.48741,0.9019,2.70647,1.28744,0.000693305,0.000693305,0.000693305
61,254.129,0.40287,0.64408,1.05984,0.36206,0.75,0.66353,0.47169,0.88787,2.44687,1.35633,0.000676802,0.000676802,0.000676802
62,257.489,0.40669,0.67654,1.06696,0.83991,0.47917,0.62542,0.42789,1.01808,2.45056,1.45825,0.000660299,0.000660299,0.000660299
63,261.014,0.4022,0.63143,1.04873,0.38211,0.61097,0.48457,0.23212,1.51091,2.5787,1.80618,0.000643795,0.000643795,0.000643795
64,265.476,0.36151,0.61562,1.04312,0.52986,0.48159,0.52615,0.21972,1.96854,2.45507,2.02117,0.000627292,0.000627292,0.000627292
65,269.406,0.38522,0.59547,1.02422,0.49182,0.70018,0.63212,0.27086,1.73208,2.4556,1.83844,0.000610789,0.000610789,0.000610789
66,272.847,0.3468,0.5712,1.02817,0.45407,0.79167,0.67946,0.4993,0.7954,2.36142,1.20859,0.000594286,0.000594286,0.000594286
67,276.454,0.36953,0.63156,1.03722,0.88706,0.60417,0.7547,0.5823,0.77702,1.28148,1.17439,0.000577782,0.000577782,0.000577782
68,280.876,0.39409,0.61559,1.07986,0.83809,0.5832,0.7577,0.52661,0.90437,1.48809,1.273,0.000561279,0.000561279,0.000561279
69,284.812,0.37586,0.56042,1.02674,0.69524,0.57292,0.70101,0.4463,0.93066,2.15139,1.31851,0.000544776,0.000544776,0.000544776
70,288.39,0.38876,0.57033,1.02531,0.52598,0.57952,0.56858,0.3527,1.12106,2.39725,1.55354,0.000528272,0.000528272,0.000528272
71,292.312,0.36251,0.53847,1.02983,0.57299,0.60417,0.68135,0.3949,1.10815,2.41626,1.55361,0.000511769,0.000511769,0.000511769
72,296.385,0.36718,0.5341,1.04019,0.53336,0.74991,0.70716,0.49104,1.03708,1.83087,1.42974,0.000495266,0.000495266,0.000495266
73,299.895,0.33113,0.54368,1.04058,0.69716,0.625,0.7123,0.51253,1.04388,1.29641,1.39713,0.000478762,0.000478762,0.000478762
74,303.281,0.34194,0.54719,1.01011,0.71956,0.66947,0.73042,0.55555,0.8471,1.13863,1.25211,0.000462259,0.000462259,0.000462259
75,307.592,0.35287,0.52348,1.02391,0.70994,0.7957,0.86072,0.61578,0.79793,1.22094,1.2039,0.000445756,0.000445756,0.000445756
