epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,138.733,2.36694,3.01184,2.91347,0.00485,1,0.08971,0.03279,2.13841,2.89806,2.84681,0.000990365,0.000990365,0.000990365
43,141.607,2.26838,3.00876,2.87012,0.00462,0.97826,0.04532,0.01416,2.16505,3.10343,2.89477,0.000973861,0.000973861,0.000973861
44,144.898,2.35455,3.03142,2.88022,0.52807,0.30435,0.06642,0.02016,2.03111,3.13235,2.77044,0.000957358,0.000957358,0.000957358
45,147.348,2.24046,3.0084,2.81436,0.53718,0.21739,0.04675,0.01905,1.94043,3.49361,2.69221,0.000940855,0.000940855,0.000940855
46,149.89,2.23215,3.02687,2.81223,0.55434,0.13043,0.08528,0.02599,2.1744,3.08375,2.87506,0.000924352,0.000924352,0.000924352
47,152.366,2.26021,2.90046,2.82846,0.55578,0.17391,0.07695,0.02747,2.19723,2.96306,2.87923,0.000907848,0.000907848,0.000907848
48,155.86,2.25782,3.00357,2.77972,0.61545,0.1087,0.08832,0.02724,2.05395,2.88241,2.76213,0.000891345,0.000891345,0.000891345
49,159.571,2.23963,2.90858,2.76517,0.64664,0.15217,0.12948,0.03583,2.10838,2.83025,2.80173,0.000874842,0.000874842,0.000874842
50,162.218,2.20128,2.92671,2.74019,0.07841,0.08696,0.08589,0.02085,2.1223,2.95168,2.78013,0.000858338,0.000858338,0.000858338
51,164.721,2.19862,2.93943,2.77562,0.10042,0.2337,0.07158,0.01685,2.13346,3.05137,2.82257,0.000841835,0.000841835,0.000841835
52,167.205,2.18257,2.94319,2.74985,0.08337,0.21196,0.04444,0.00943,2.07531,3.35757,2.74637,0.000825332,0.000825332,0.000825332
53,170.462,2.15996,2.89689,2.76963,0.03247,0.13043,0.03298,0.01001,2.05689,3.31432,2.68029,0.000808828,0.000808828,0.000808828
54,173.244,2.18426,2.86568,2.72666,0.04693,0.32609,0.08489,0.02329,2.10489,2.8776,2.75602,0.000792325,0.000792325,0.000792325
55,175.695,2.13012,2.89618,2.70568,0.57537,0.23913,0.16384,0.03629,2.16697,3.12299,2.84388,0.000775822,0.000775822,0.000775822
56,178.324,2.16104,2.85385,2.66556,0.66802,0.15217,0.12765,0.03124,2.16909,3.08726,2.77014,0.000759318,0.000759318,0.000759318
57,180.864,2.06846,2.78788,2.64839,0.6164,0.13043,0.12445,0.03805,2.06396,2.90568,2.66378,0.000742815,0.000742815,0.000742815
58,184.454,2.11482,2.81269,2.64393,0.63496,0.15217,0.10434,0.03803,1.98025,2.81967,2.61568,0.000726312,0.000726312,0.000726312
59,186.999,2.06142,2.84403,2.64084,0.63248,0.17391,0.11622,0.03465,2.02464,2.85444,2.65704,0.000709809,0.000709809,0.000709809
60,189.595,2.07145,2.81766,2.64462,0.651,0.13043,0.11285,0.03139,2.10392,2.75976,2.74293,0.000693305,0.000693305,0.000693305
61,192.195,2.07926,2.84575,2.67118,0.59178,0.15217,0.10085,0.02926,2.04653,2.84228,2.69914,0.000676802,0.000676802,0.000676802
